[50, 175, 210.0, 1]
[28, 191, 218.0, 1]
[28, 175, 150.0, 0]
[29, 160, 122.0, 0]
[31, 173, 155.0, 0]
[47, 160, 135.0, 0]
[44, 168, 195.0, 1]
[29, 191, 215.0, 1]
[33, 205, 123, 2]
[31, 163, 115.0, 0]
[41, 185, 195.0, 1]
[33, 183, 220.0, 1]
[41, 180, 153.0, 0]
[36, 175, 184.0, 1]
[50, 185, 218.0, 1]
[30, 173, 172.0, 1]
[51, 160, 115.0, 0]
[36, 180, 170.0, 1]
[48, 165, 184.0, 1]
[43, 160, 132.0, 0]
[44, 205, 197, 1]
[44, 152, 115.0, 0]
[31, 183, 255.0, 1]
[48, 180, 200.0, 1]
[46, 178, 225.0, 1]
[36, 180, 185.0, 1]
[36, 170, 170.0, 1]
[48, 175, 160.0, 1]
[33, 183, 200.0, 1]
[40, 178, 168.0, 1]
[33, 163, 121.0, 0]
[40, 175, 207.0, 1]
[52, 170, 135.0, 0]
[33, 173, 142.0, 0]
[30, 175, 205.0, 1]
[32, 163, 137.0, 0]
[43, 152, 129.0, 0]
[41, 175, 225.0, 1]
[30, 170, 156.0, 0]
[79, 205, 143, 1]
[48, 185, 200.0, 1]
[39, 180, 187.0, 1]
[42, 173, 160.0, 1]
[28, 157, 141.0, 0]
[28, 188, 200.0, 1]
[35, 173, 133.0, 0]
[43, 170, 199.0, 1]
[47, 178, 175.0, 1]
[49, 160, 125.0, 0]
[35, 185, 213.0, 1]
[36, 163, 138.0, 0]
[52, 175, 171.0, 1]
[39, 173, 243.0, 1]
[34, 175, 225.0, 1]
[32, 178, 182.0, 1]
[46, 163, 122.0, 0]
[34, 191, 276.0, 1]
[32, 175, 145.0, 0]
[30, 160, 108.0, 0]
[45, 175, 170.0, 0]
[33, 178, 155.0, 0]
[39, 165, 136.0, 0]
[45, 180, 184.0, 1]
[42, 163, 116.0, 0]
[37, 160, 126.0, 0]
[46, 205, 139, 1]
[31, 183, 194.0, 1]
[42, 173, 180.0, 1]
[32, 165, 135.0, 0]
[50, 188, 245.0, 1]
[36, 170, 104.0, 1]
[31, 175, 132.0, 0]
[28, 175, 170.0, 1]
[50, 175, 141.0, 0]
[44, 173, 175.0, 1]
[28, 173, 135.0, 0]
[30, 168, 196.0, 1]
[47, 163, 130.0, 0]
[32, 163, 133.0, 0]
[44, 205, 122, 2]
[40, 173, 213.0, 1]
[39, 180, 240.0, 1]
[39, 178, 180.0, 1]
[46, 173, 156.0, 1]
[43, 168, 207.0, 0]
[47, 157, 105.0, 0]
[36, 173, 181.0, 1]
[44, 173, 180.0, 1]
[40, 165, 135.0, 0]
[37, 188, 245.0, 1]
[39, 170, 104.0, 1]
[39, 175, 132.0, 0]
[44, 175, 170.0, 1]
[42, 175, 141.0, 0]
[48, 173, 175.0, 1]
[34, 173, 135.0, 0]
[38, 168, 196.0, 1]
[44, 163, 130.0, 0]
[35, 163, 133.0, 0]
[30, 205, 174, 2]
[43, 173, 213.0, 1]
[44, 180, 240.0, 1]
[47, 178, 180.0, 1]
[40, 173, 156.0, 1]
[35, 168, 207.0, 0]
[46, 157, 105.0, 0]
[34, 173, 181.0, 1]
[35, 178, 239.0, 1]
[33, 178, 175.0, 1]
[39, 175, 223.0, 1]
[43, 191, 245.0, 1]
[45, 178, 170.0, 1]
[40, 196, 213.0, 1]
[44, 173, 225.0, 1]
[49, 178, 186.0, 1]
[31, 180, 191.0, 1]
[45, 205, 125, 1]
[25, 175, 200.0, 1]
[37, 180, 188.0, 1]
[30, 173, 172.0, 1]
[34, 163, 125.0, 0]
[44, 157, 136.0, 0]
[42, 178, 135.0, 0]
[41, 152, 132.0, 0]
[35, 152, 135.0, 0]
[46, 185, 195.0, 1]
[28, 205, 122, 2]
[37, 188, 212.0, 1]
[50, 170, 151.0, 1]
[46, 178, 138.0, 0]
[50, 178, 188.0, 1]
[37, 165, 133.0, 0]
[44, 180, 183.0, 1]
[39, 196, 233.0, 1]
[38, 175, 200.0, 1]
[36, 175, 228.0, 1]
[36, 175, 266.0, 1]
[50, 205, 177, 1]
[45, 168, 121.0, 0]
[38, 157, 121.0, 0]
[31, 173, 162.0, 1]
[30, 180, 170.0, 1]
[37, 170, 138.0, 0]
[43, 168, 134.0, 0]
[30, 185, 316.0, 1]
[49, 185, 328.0, 1]
[41, 160, 135.0, 0]
[40, 173, 219.0, 1]
[36, 183, 200.0, 1]
[43, 170, 218.0, 1]
[41, 170, 162.0, 0]
[36, 175, 184.0, 2]
[50, 175, 156.0, 1]
[34, 188, 232.0, 1]
[41, 183, 206.0, 1]
[40, 180, 189.0, 1]
[41, 180, 260.0, 1]
[30, 185, 234.0, 1]
[48, 193, 235.0, 1]
[49, 180, 190.0, 1]
[32, 160, 107.0, 0]
[41, 165, 154.0, 0]
[50, 188, 220.0, 1]
[25, 170, 191.0, 1]
[36, 170, 119.0, 0]
[29, 165, 162.0, 0]
[28, 152, 109.0, 0]
[28, 168, 145.0, 1]
[42, 170, 162.0, 1]
[49, 170, 134.0, 0]
[31, 163, 134.0, 0]
[42, 152, 125.0, 0]
[42, 185, 210.0, 1]
[31, 173, 178.0, 1]
[33, 180, 218.0, 1]
[35, 173, 198.0, 1]
[31, 170, 180.0, 1]
[50, 163, 108.0, 0]
[47, 185, 246.0, 1]
[38, 163, 135.0, 0]
[42, 175, 132, 0]
[36, 185, 215.0, 1]
[49, 152, 115.0, 0]
[31, 163, 126.0, 1]
[27, 168, 128.0, 0]
[49, 157, 118.0, 0]
[40, 160, 164.0, 1]
[39, 168, 145.0, 1]
[41, 170, 162.0, 1]
[35, 170, 134.0, 0]
[30, 163, 134.0, 0]
[45, 152, 125.0, 0]
[32, 185, 210.0, 1]
[30, 173, 178.0, 1]
[46, 180, 218.0, 1]
[43, 173, 198.0, 1]
[43, 170, 180.0, 1]
[46, 163, 108.0, 0]
[43, 185, 246.0, 1]
[31, 163, 135.0, 0]
[42, 175, 198, 0]
[37, 185, 215.0, 1]
[32, 152, 115.0, 0]
[40, 163, 126.0, 1]
[27, 168, 128.0, 0]
[49, 157, 118.0, 0]
[34, 160, 164.0, 1]
[43, 163, 120.0, 0]
[44, 168, 120.0, 0]
[48, 175, 157.0, 0]
[36, 191, 216.0, 1]
[33, 178, 190.0, 1]
[36, 180, 227.0, 1]
[50, 175, 175.0, 0]
[34, 157, 130.0, 0]
[36, 193, 248.0, 1]
[28, 173, 195.0, 1]
[48, 175, 172.0, 1]
[31, 157, 131.0, 0]
[31, 170, 143.0, 0]
[39, 168, 185.0, 0]
[50, 160, 111.0, 0]
[35, 168, 117.0, 0]
[46, 170, 161.0, 1]
[37, 178, 209.0, 1]
[42, 205, 126, 1]
[32, 170, 127.0, 0]
[39, 165, 142.0, 0]
[40, 165, 175.0, 0]
[35, 160, 115.0, 0]
[28, 183, 210.0, 1]
[49, 165, 118.0, 0]
[45, 175, 207.0, 1]
[31, 168, 175.0, 0]
[44, 173, 140.0, 0]
[32, 168, 124.0, 0]
[31, 175, 190.0, 1]
[39, 180, 225.0, 1]
[46, 178, 160.0, 0]
[40, 165, 210.0, 1]
[50, 163, 128.0, 0]
[28, 185, 220.0, 1]
[55, 163, 137.0, 0]
[34, 178, 264.0, 1]
[50, 175, 151.0, 0]
[46, 175, 191.0, 1]
[50, 183, 212.0, 1]
[31, 193, 222.0, 1]
[29, 180, 160.0, 1]
[29, 180, 252.0, 1]
[48, 173, 237.0, 1]
[43, 168, 143.0, 1]
[43, 205, 164, 1]
[33, 170, 184.0, 1]
[41, 173, 170.0, 1]
[35, 185, 201.0, 1]
[33, 168, 215.0, 1]
[40, 180, 202.0, 1]
[44, 165, 119.0, 0]
[37, 173, 220.0, 1]
[48, 168, 117.0, 0]
[49, 163, 145.0, 0]
[42, 183, 205.0, 1]
[39, 157, 107.0, 0]
[37, 173, 248.0, 1]
[35, 183, 224.0, 1]
[46, 175, 149.0, 0]
[47, 188, 212.0, 1]
[29, 178, 151.0, 0]
[34, 180, 210.0, 1]
[34, 180, 184.0, 1]
[35, 185, 193.0, 2]
[50, 185, 195.0, 1]
[32, 165, 122.0, 0]
[39, 165, 184.0, 0]
[41, 163, 121.0, 2]
[38, 193, 244.0, 1]
[30, 170, 202.0, 0]
[43, 170, 204.0, 0]
[40, 173, 166.0, 1]
[31, 178, 222.0, 1]
[41, 175, 220.0, 1]
[39, 163, 130.0, 0]
[33, 168, 143.0, 0]
[50, 178, 173.0, 1]
[36, 191, 190.0, 1]
[46, 180, 224.0, 1]
[40, 188, 212.0, 1]
[34, 178, 151.0, 0]
[38, 180, 210.0, 1]
[44, 180, 184.0, 1]
[28, 185, 193.0, 2]
[31, 185, 195.0, 1]
[42, 165, 122.0, 0]
[28, 165, 184.0, 0]
[38, 163, 121.0, 2]
[42, 193, 244.0, 1]
[35, 170, 202.0, 0]
[49, 170, 204.0, 0]
[35, 173, 166.0, 1]
[48, 178, 222.0, 1]
[31, 175, 220.0, 1]
[50, 163, 130.0, 0]
[42, 168, 143.0, 0]
[46, 178, 173.0, 1]
[41, 191, 190.0, 1]
[46, 180, 224.0, 1]
[33, 170, 177.0, 0]
[28, 173, 145.0, 1]
[41, 160, 150.0, 0]
[30, 152, 110.0, 0]
[44, 157, 105.0, 0]
[48, 163, 142.0, 0]
[39, 185, 197.0, 2]
[47, 183, 218.0, 1]
[33, 165, 130.0, 0]
[33, 175, 190.0, 1]
[2017, 180, 288.0, 1]
[41, 175, 174.0, 1]
[33, 163, 132.0, 0]
[40, 170, 130.0, 0]
[37, 173, 191.0, 1]
[35, 170, 137.0, 0]
[40, 183, 310.0, 1]
[41, 173, 142.0, 1]
[46, 170, 170.0, 1]
[33, 175, 220.0, 1]
[38, 170, 183.0, 1]
[48, 165, 221.0, 0]
[48, 178, 191.0, 1]
[31, 170, 165.0, 1]
[47, 173, 200.0, 1]
[47, 173, 194.0, 1]
[25, 170, 180.0, 1]
[47, 183, 188.0, 1]
[45, 183, 220.0, 1]
[35, 165, 124.0, 0]
[58, 183, 265.0, 1]
[49, 193, 290.0, 1]
[52, 165, 128.0, 0]
[41, 168, 131.0, 0]
[34, 173, 200.0, 1]
[36, 180, 192.0, 1]
[31, 150, 97.0, 0]
[31, 160, 113.0, 0]
[36, 122, 285.0, 1]
[44, 170, 135.0, 0]
[50, 180, 185.0, 2]
[37, 168, 240.0, 1]
[31, 152, 130.0, 1]
[44, 160, 141.0, 0]
[39, 157, 999.0, 0]
[43, 175, 201.0, 1]
[47, 163, 180.0, 1]
[35, 170, 132.0, 0]
[31, 157, 113.0, 0]
[45, 175, 225.0, 0]
[48, 173, 189.0, 1]
[45, 185, 289.0, 1]
[37, 185, 217.0, 1]
[35, 178, 204.0, 1]
[48, 183, 270.0, 2]
[49, 185, 183.0, 1]
[45, 175, 156.0, 1]
[35, 175, 210.0, 1]
[36, 160, 110.0, 0]
[53, 157, 162.0, 0]
[39, 175, 200.0, 1]
[29, 175, 178.0, 1]
[36, 152, 117.0, 0]
[41, 193, 210.0, 1]
[36, 165, 165.0, 0]
[45, 168, 130.0, 0]
[49, 157, 116.0, 0]
[35, 168, 184, 1]
[42, 175, 179.0, 1]
[38, 178, 205.0, 1]
[30, 170, 205.0, 1]
[50, 170, 165.0, 1]
[32, 178, 220.0, 1]
[37, 160, 125.0, 0]
[24, 178, 180.0, 1]
[41, 175, 205.0, 1]
[44, 168, 113.0, 0]
[31, 183, 220.0, 1]
[49, 173, 150.0, 1]
[34, 178, 166.0, 1]
[42, 175, 200.0, 1]
[41, 175, 178.0, 1]
[40, 152, 117.0, 0]
[50, 193, 210.0, 1]
[45, 165, 165.0, 0]
[50, 168, 130.0, 0]
[50, 157, 116.0, 0]
[35, 168, 185, 1]
[40, 175, 179.0, 1]
[47, 178, 205.0, 1]
[33, 170, 205.0, 1]
[33, 170, 165.0, 1]
[28, 178, 220.0, 1]
[47, 160, 125.0, 0]
[24, 178, 180.0, 1]
[30, 175, 205.0, 1]
[37, 168, 113.0, 0]
[47, 183, 220.0, 1]
[31, 173, 150.0, 1]
[47, 178, 166.0, 1]
[41, 205, 127, 1]
[46, 191, 228.0, 1]
[31, 183, 215.0, 1]
[28, 170, 146.0, 0]
[44, 168, 134.0, 0]
[32, 183, 201.0, 1]
[44, 173, 137.0, 0]
[37, 198, 264.0, 1]
[41, 175, 155.0, 1]
[45, 157, 127.0, 0]
[40, 173, 202.0, 1]
[39, 178, 195.0, 1]
[32, 168, 176.0, 0]
[39, 178, 196.0, 1]
[37, 160, 112.0, 0]
[50, 163, 110.0, 0]
[39, 178, 196.0, 1]
[28, 168, 121.0, 0]
[33, 173, 240.0, 1]
[29, 163, 123.0, 0]
[34, 185, 240.0, 1]
[30, 180, 213.0, 1]
[47, 191, 182.0, 1]
[40, 168, 145.0, 0]
[34, 170, 161.0, 1]
[30, 170, 157.0, 1]
[49, 180, 204.0, 1]
[30, 163, 114.0, 0]
[42, 152, 123.0, 0]
[33, 185, 224.0, 1]
[33, 178, 170.0, 1]
[38, 191, 168.0, 0]
[32, 173, 152.0, 0]
[32, 165, 130.0, 0]
[36, 152, 106.0, 0]
[39, 168, 127.0, 0]
[37, 183, 237.0, 1]
[39, 178, 203.0, 1]
[43, 165, 208.0, 0]
[48, 183, 242.0, 1]
[49, 191, 188.0, 1]
[34, 165, 159.0, 0]
[50, 175, 174.0, 1]
[43, 163, 138.0, 0]
[37, 173, 203.0, 1]
[41, 157, 189.0, 0]
[40, 173, 185.0, 1]
[44, 170, 188.0, 1]
[44, 178, 218.0, 1]
[42, 183, 170.0, 1]
[32, 157, 112.0, 0]
[40, 183, 193.0, 1]
[45, 185, 244.0, 1]
[39, 168, 150.0, 2]
[46, 173, 141.0, 0]
[28, 183, 188.0, 1]
[31, 196, 250.0, 1]
[30, 178, 219.0, 1]
[50, 180, 205.0, 1]
[56, 175, 186.0, 1]
[40, 185, 203.0, 1]
[32, 173, 215.0, 1]
[40, 175, 181.0, 1]
[42, 160, 124.0, 0]
[32, 175, 185.0, 1]
[38, 183, 200.0, 2]
[33, 175, 200.0, 1]
[41, 157, 115.0, 0]
[40, 175, 169.0, 0]
[49, 160, 141.0, 0]
[31, 178, 280.0, 1]
[28, 178, 215.0, 1]
[38, 180, 177.0, 1]
[38, 205, 135, 1]
[34, 205, 139, 2]
[42, 178, 174.0, 1]
[28, 185, 50.0, 1]
[43, 178, 190.0, 1]
[31, 178, 210.0, 1]
[39, 178, 178.0, 1]
[40, 185, 203.0, 1]
[48, 173, 215.0, 1]
[42, 175, 181.0, 1]
[41, 160, 124.0, 0]
[46, 175, 185.0, 1]
[50, 183, 200.0, 2]
[44, 175, 200.0, 1]
[47, 157, 115.0, 0]
[30, 175, 169.0, 0]
[30, 160, 141.0, 0]
[42, 178, 280.0, 1]
[33, 178, 215.0, 1]
[28, 180, 177.0, 1]
[38, 205, 180, 1]
[40, 205, 143, 2]
[37, 178, 174.0, 1]
[48, 185, 50.0, 1]
